uniqueID,name,gender,birthDate,member,partyAbbrev,partyName,partySimplifiedName,year_elected
Abbott1859,"Abbott, Richard",male,NA,0,CP,Australian Country Party,Nationals,NA
Abbott1869,"Abbott, Percy",male,1869-05-14,1,CP,Australian Country Party,Nationals,1913
Abbott1869,"Abbott, Percy",male,1869-05-14,1,LIB,Liberal Party of Australia,Liberals,1913
Abbott1869,"Abbott, Percy",male,1869-05-14,1,NAT,Nationalist Party,Nationalist Party,1913
Abbott1877,"Abbott, Mac",male,1877-07-03,0,CP,Australian Country Party,Nationals,NA
Abbott1886,"Abbott, Aubrey",male,1886-01-04,1,CP,Australian Country Party,Nationals,1925
Abbott1886,"Abbott, Aubrey",male,1886-01-04,1,CP,Australian Country Party,Nationals,1931
Abbott1891,"Abbott, Joseph",male,1891-10-18,1,CP,Australian Country Party,Nationals,1940
Abbott1957,"Abbott, Tony",male,1957-11-04,1,LIB,Liberal Party of Australia,Liberals,1994
Abel1939,"Abel, John",male,1939-06-25,1,LIB,Liberal Party of Australia,Liberals,1975
Abetz1958,"Abetz, Eric",male,1958-01-25,0,LIB,Liberal Party of Australia,Liberals,NA
Adams1943,"Adams, Judith",female,1943-04-11,0,LIB,Liberal Party of Australia,Liberals,NA
Adams1951,"Adams, Dick",male,1951-04-29,1,ALP,Australian Labor Party,Labor,1993
Adamson1857,"Adamson, John",male,1857-02-18,0,NAT,Nationalist Party,Nationalist Party,NA
Adermann1896,"Adermann, Charles",male,1896-08-03,1,CP,Australian Country Party,Nationals,1949
Adermann1896,"Adermann, Charles",male,1896-08-03,1,CP,Australian Country Party,Nationals,1943
Adermann1927,"Adermann, Evan",male,1927-03-10,1,CP,Australian Country Party,Nationals,1984
Adermann1927,"Adermann, Evan",male,1927-03-10,1,CP,Australian Country Party,Nationals,1972
Adermann1927,"Adermann, Evan",male,1927-03-10,1,NCP,National Country Party,Nationals,1984
Adermann1927,"Adermann, Evan",male,1927-03-10,1,NCP,National Country Party,Nationals,1972
Adermann1927,"Adermann, Evan",male,1927-03-10,1,NPA,National Party of Australia,Nationals,1984
Adermann1927,"Adermann, Evan",male,1927-03-10,1,NPA,National Party of Australia,Nationals,1972
Ahern1871,"Ahern, Cornelius",male,1871-07-10,1,LIB,Liberal Party of Australia,Liberals,1913
Albanese1963,"Albanese, Anthony",male,1963-03-02,1,ALP,Australian Labor Party,Labor,1996
Aldred1945,"Aldred, Ken",male,1945-08-01,1,LIB,Liberal Party of Australia,Liberals,1983
Aldred1945,"Aldred, Ken",male,1945-08-01,1,LIB,Liberal Party of Australia,Liberals,1990
Aldred1945,"Aldred, Ken",male,1945-08-01,1,LIB,Liberal Party of Australia,Liberals,1975
Alexander1951,"Alexander, John",male,1951-07-04,1,LIB,Liberal Party of Australia,Liberals,2010
Alexander1951,"Alexander, John",male,1951-07-04,1,LIB,Liberal Party of Australia,Liberals,2018
Allan1916,"Allan, Ian",male,1916-01-03,1,CP,Australian Country Party,Nationals,1953
Allen1966,"Allen, Katie",female,1966-02-24,1,LIB,Liberal Party of Australia,Liberals,2019
Allison1946,"Allison, Lyn",female,1946-10-21,0,AD,Australian Democrats,Australian Democrats,NA
Alston1941,"Alston, Richard",male,1941-12-19,0,LIB,Liberal Party of Australia,Liberals,NA
Aly1967,"Aly, Anne",female,1967-03-29,1,ALP,Australian Labor Party,Labor,2016
Amour1900,"Amour, Stan",male,1900-04-02,0,ALP,Australian Labor Party,Labor,NA
Amour1900,"Amour, Stan",male,1900-04-02,0,ALP,Australian Labor Party,Labor,NA
Amour1900,"Amour, Stan",male,1900-04-02,0,ALP (N-C),Australian Labor Party (Non-Communist),Australian Labor Party (Non-Communist),NA
Anderson1909,"Anderson, Ken",male,1909-10-11,0,LIB,Liberal Party of Australia,Liberals,NA
Anderson1956,"Anderson, John",male,1956-11-14,1,NP,The Nationals,Nationals,1989
Anderson1956,"Anderson, John",male,1956-11-14,1,NPA,National Party of Australia,Nationals,1989
AndersonCharles1897,"Anderson, Charles",male,1897-02-12,1,CP,Australian Country Party,Nationals,1949
AndersonCharles1897,"Anderson, Charles",male,1897-02-12,1,CP,Australian Country Party,Nationals,1955
AndersonGordon1897,"Anderson, Gordon",male,1897-12-29,1,ALP,Australian Labor Party,Labor,1949
Andren1946,"Andren, Peter",male,1946-08-28,1,IND,Independent,Independent,1996
Andrew1866,"Andrew, David",male,1866-11-10,0,CP,Australian Country Party,Nationals,NA
Andrew1944,"Andrew, Neil",male,1944-06-07,1,LIB,Liberal Party of Australia,Liberals,1983
Andrews1900,"Andrews, Tom",male,1900-10-19,1,ALP,Australian Labor Party,Labor,1949
Andrews1900,"Andrews, Tom",male,1900-10-19,1,ALP (A-C),Australian Labor Party (Anti-Communist),Australian Labor Party (Anti-Communist),1949
Andrews1955,"Andrews, Kevin",male,1955-11-09,1,LIB,Liberal Party of Australia,Liberals,1991
Andrews1960,"Andrews, Karen",female,1960-08-23,1,LIB,Liberal Party of Australia,Liberals,2010
Anning1949,"Anning, Fraser",male,1949-10-14,0,IND,Independent,Independent,NA
Anning1949,"Anning, Fraser",male,1949-10-14,0,KAP,Katters Australian Party,Katters Australian Party,NA
Anning1949,"Anning, Fraser",male,1949-10-14,0,PHON,Pauline Hansons One Nation,Pauline Hansons One Nation,NA
Anstey1865,"Anstey, Frank",male,1865-08-18,1,ALP,Australian Labor Party,Labor,1910
Anstey1865,"Anstey, Frank",male,1865-08-18,1,FLP,Federal Labor Party,Federal Labor Party,1910
Anthony1897,"Anthony, Larry (Hubert)",male,1897-03-12,1,CP,Australian Country Party,Nationals,1937
Anthony1929,"Anthony, Doug",male,1929-12-31,1,CP,Australian Country Party,Nationals,1957
Anthony1929,"Anthony, Doug",male,1929-12-31,1,NCP,National Country Party,Nationals,1957
Anthony1929,"Anthony, Doug",male,1929-12-31,1,NPA,National Party of Australia,Nationals,1957
Anthony1961,"Anthony, Larry (Lawrence)",male,1961-12-17,1,NP,The Nationals,Nationals,1996
Anthony1961,"Anthony, Larry (Lawrence)",male,1961-12-17,1,NPA,National Party of Australia,Nationals,1996
Antic1974,"Antic, Alex",male,1974-12-17,0,LIB,Liberal Party of Australia,Liberals,NA
Arbib1971,"Arbib, Mark",male,1971-11-09,0,ALP,Australian Labor Party,Labor,NA
Archer1871,"Archer, Edward",male,1871-12-12,1,ANTI-SOC,Anti-Socialist Party,Anti-Socialist Party,1906
Archer1929,"Archer, Brian",male,1929-08-21,0,LIB,Liberal Party of Australia,Liberals,NA
Archer1975,"Archer, Bridget",female,1975-05-18,1,LIB,Liberal Party of Australia,Liberals,2019
Archibald1852,"Archibald, William",male,1852-06-03,1,ALP,Australian Labor Party,Labor,1910
Archibald1852,"Archibald, William",male,1852-06-03,1,NAT,Nationalist Party,Nationalist Party,1910
Arkins1888,"Arkins, Guy",male,1888-10-14,0,UAP,United Australia Party,United Australia Party,NA
Armitage1920,"Armitage, John",male,1920-11-11,1,ALP,Australian Labor Party,Labor,1969
Armitage1920,"Armitage, John",male,1920-11-11,1,ALP,Australian Labor Party,Labor,1961
Armstrong1908,"Armstrong, John",male,1908-07-10,0,ALP,Australian Labor Party,Labor,NA
Armstrong1908,"Armstrong, John",male,1908-07-10,0,ALP,Australian Labor Party,Australian Labor Party,NA
Armstrong1908,"Armstrong, John",male,1908-07-10,0,ALP (N-C),Australian Labor Party (Non-Communist),Australian Labor Party (Non-Communist),NA
Armstrong1909,"Armstrong, Bill",male,1909-07-01,1,CP,Australian Country Party,Nationals,1965
Arnold1902,"Arnold, James",male,1902-04-12,0,ALP,Australian Labor Party,Labor,NA
Arthur1875,"Arthur, John",male,1875-08-15,1,ALP,Australian Labor Party,Labor,1913
Arthur1883,"Arthur, Thomas",male,1883-05-11,0,ALP,Australian Labor Party,Labor,NA
Arthur1918,"Arthur, Bill",male,1918-04-16,1,LIB,Liberal Party of Australia,Liberals,1966
Ashley1881,"Ashley, Bill",male,1881-09-20,0,ALP,Australian Labor Party,Labor,NA
AshleyBrown1915,"Ashley-Brown, Alfred",male,1915-10-05,1,ALP,Australian Labor Party,Labor,1972
Askew1963,"Askew, Wendy",female,1963-03-16,0,LIB,Liberal Party of Australia,Liberals,NA
Aston1916,"Aston, William",male,1916-09-19,1,LIB,Liberal Party of Australia,Liberals,1955
Aston1916,"Aston, William",male,1916-09-19,1,LIB,Liberal Party of Australia,Liberals,1963
Atkinson1867,"Atkinson, Llewellyn",male,1867-12-18,1,ANTI-SOC,Anti-Socialist Party,Anti-Socialist Party,1906
Atkinson1867,"Atkinson, Llewellyn",male,1867-12-18,1,CP,Australian Country Party,Nationals,1906
Atkinson1867,"Atkinson, Llewellyn",male,1867-12-18,1,LIB,Liberal Party of Australia,Liberal Party of Australia,1906
Atkinson1867,"Atkinson, Llewellyn",male,1867-12-18,1,NAT,Nationalist Party,Nationalist Party,1906
Atkinson1867,"Atkinson, Llewellyn",male,1867-12-18,1,NAT,Nationalist Party,Nationalist Party,1906
Atkinson1948,"Atkinson, Rod",male,1948-08-07,1,LIB,Liberal Party of Australia,Liberals,1990
Aulich1945,"Aulich, Terry",male,1945-10-05,0,ALP,Australian Labor Party,Labor,NA
Aylett1900,"Aylett, Bill",male,1900-11-15,0,ALP,Australian Labor Party,Labor,NA
Ayres,"Ayres, Tim",male,NA,0,ALP,Australian Labor Party,Labor,NA
Back1950,"Back, Christopher",male,1950-02-11,0,LIB,Liberal Party of Australia,Liberals,NA
Badman1885,"Badman, Albert",male,1885-12-18,1,CP,Australian Country Party,Nationals,1937
