uniqueID,name,gender,partyName,year_elected
Abbott1859,"Abbott, Richard",male,Australian Country Party,NA
Abbott1869,"Abbott, Percy",male,Australian Country Party,1913
Abbott1869,"Abbott, Percy",male,Liberal Party of Australia,1913
Abbott1869,"Abbott, Percy",male,Nationalist Party,1913
Abbott1877,"Abbott, Mac",male,Australian Country Party,NA
Abbott1886,"Abbott, Aubrey",male,Australian Country Party,1925
Abbott1886,"Abbott, Aubrey",male,Australian Country Party,1931
Abbott1891,"Abbott, Joseph",male,Australian Country Party,1940
Abbott1957,"Abbott, Tony",male,Liberal Party of Australia,1994
Abel1939,"Abel, John",male,Liberal Party of Australia,1975
Abetz1958,"Abetz, Eric",male,Liberal Party of Australia,NA
Adams1943,"Adams, Judith",female,Liberal Party of Australia,NA
Adams1951,"Adams, Dick",male,Australian Labor Party,1993
Adamson1857,"Adamson, John",male,Nationalist Party,NA
Adermann1896,"Adermann, Charles",male,Australian Country Party,1949
Adermann1896,"Adermann, Charles",male,Australian Country Party,1943
Adermann1927,"Adermann, Evan",male,Australian Country Party,1984
Adermann1927,"Adermann, Evan",male,Australian Country Party,1972
Adermann1927,"Adermann, Evan",male,National Country Party,1984
Adermann1927,"Adermann, Evan",male,National Country Party,1972
Adermann1927,"Adermann, Evan",male,National Party of Australia,1984
Adermann1927,"Adermann, Evan",male,National Party of Australia,1972
Ahern1871,"Ahern, Cornelius",male,Liberal Party of Australia,1913
Albanese1963,"Albanese, Anthony",male,Australian Labor Party,1996
Aldred1945,"Aldred, Ken",male,Liberal Party of Australia,1983
Aldred1945,"Aldred, Ken",male,Liberal Party of Australia,1990
Aldred1945,"Aldred, Ken",male,Liberal Party of Australia,1975
Alexander1951,"Alexander, John",male,Liberal Party of Australia,2010
Alexander1951,"Alexander, John",male,Liberal Party of Australia,2018
Allan1916,"Allan, Ian",male,Australian Country Party,1953
Allen1966,"Allen, Katie",female,Liberal Party of Australia,2019
Allison1946,"Allison, Lyn",female,Australian Democrats,NA
Alston1941,"Alston, Richard",male,Liberal Party of Australia,NA
Aly1967,"Aly, Anne",female,Australian Labor Party,2016
Amour1900,"Amour, Stan",male,Australian Labor Party,NA
Amour1900,"Amour, Stan",male,Australian Labor Party,NA
Amour1900,"Amour, Stan",male,Australian Labor Party (Non-Communist),NA
Anderson1909,"Anderson, Ken",male,Liberal Party of Australia,NA
Anderson1956,"Anderson, John",male,The Nationals,1989
Anderson1956,"Anderson, John",male,National Party of Australia,1989
AndersonCharles1897,"Anderson, Charles",male,Australian Country Party,1949
AndersonCharles1897,"Anderson, Charles",male,Australian Country Party,1955
AndersonGordon1897,"Anderson, Gordon",male,Australian Labor Party,1949
Andren1946,"Andren, Peter",male,Independent,1996
Andrew1866,"Andrew, David",male,Australian Country Party,NA
Andrew1944,"Andrew, Neil",male,Liberal Party of Australia,1983
Andrews1900,"Andrews, Tom",male,Australian Labor Party,1949
Andrews1900,"Andrews, Tom",male,Australian Labor Party (Anti-Communist),1949
Andrews1955,"Andrews, Kevin",male,Liberal Party of Australia,1991
Andrews1960,"Andrews, Karen",female,Liberal Party of Australia,2010
Anning1949,"Anning, Fraser",male,Independent,NA
Anning1949,"Anning, Fraser",male,Katters Australian Party,NA
Anning1949,"Anning, Fraser",male,Pauline Hansons One Nation,NA
Anstey1865,"Anstey, Frank",male,Australian Labor Party,1910
Anstey1865,"Anstey, Frank",male,Federal Labor Party,1910
Anthony1897,"Anthony, Larry (Hubert)",male,Australian Country Party,1937
Anthony1929,"Anthony, Doug",male,Australian Country Party,1957
Anthony1929,"Anthony, Doug",male,National Country Party,1957
Anthony1929,"Anthony, Doug",male,National Party of Australia,1957
Anthony1961,"Anthony, Larry (Lawrence)",male,The Nationals,1996
