uniqueID,division,stateOfDivision,enteredAtByElection,mpFrom,mpTo,mpEndReason,mpChangedSeat,mpComments
Abbott1869,New England,NSW,No,1913-05-31,1919-11-03,Retired,NA,NA
Abbott1886,Gwydir,NSW,No,1925-11-14,1929-10-12,Defeated,NA,NA
Abbott1886,Gwydir,NSW,No,1931-12-19,1937-03-28,Resigned,NA,NA
Abbott1891,New England,NSW,No,1940-09-21,1949-10-31,Retired,NA,NA
Abbott1957,Warringah,NSW,Yes,1994-03-26,2019-05-18,Defeated,NA,NA
Abel1939,Evans,NSW,No,1975-12-13,1977-11-10,Retired,NA,NA
Adams1951,Lyons,TAS,No,1993-03-13,2013-09-07,Defeated,NA,NA
Adermann1896,Fisher,QLD,No,1949-12-10,1972-11-02,Retired,NA,NA
Adermann1896,Maranoa,QLD,No,1943-08-21,1949-12-10,Until Elected For Fisher,1,NA
Adermann1927,Fairfax,QLD,No,1984-12-01,1990-02-19,Retired,NA,NA
Adermann1927,Fisher,QLD,No,1972-12-02,1984-12-01,Until Elected For Fairfax,1,NA
Ahern1871,Indi,VIC,No,1913-05-31,1914-09-05,Defeated,NA,NA
Albanese1963,Grayndler,NSW,No,1996-03-02,NA,NA,NA,NA
Aldred1945,Bruce,VIC,Yes,1983-05-28,1990-03-24,Until Elected For Deakin,1,NA
Aldred1945,Deakin,VIC,No,1990-03-24,1996-01-29,Retired,NA,NA
Aldred1945,Henty,VIC,No,1975-12-13,1980-10-18,Defeated,NA,NA
Alexander1951,Bennelong,NSW,No,2010-08-21,2017-11-11,Resigned,NA,Eligibility issues.
Alexander1951,Bennelong,NSW,Yes,2018-12-16,NA,NA,NA,NA
Allan1916,Gwydir,NSW,Yes,1953-12-19,1969-04-30,Resigned,NA,NA
Allen1966,Higgins,VIC,No,2019-05-18,NA,NA,NA,NA
Aly1967,Cowan,WA,No,2016-07-02,NA,NA,NA,NA
Anderson1956,Gwydir,NSW,Yes,1989-04-15,2007-10-17,Retired,NA,NA
AndersonCharles1897,Hume,NSW,No,1949-12-10,1951-04-28,Defeated,NA,NA
AndersonCharles1897,Hume,NSW,No,1955-12-10,1961-12-09,Defeated,NA,NA
AndersonGordon1897,Kingsford-Smith,NSW,No,1949-12-10,1955-11-04,Retired,NA,Same as Kingsford Smith - name was changed in 2001
Andren1946,Calare,NSW,No,1996-03-02,2007-10-17,Retired,NA,NA
Andrew1944,Wakefield,SA,No,1983-03-05,2004-08-31,Retired,NA,NA
Andrews1900,Darebin,VIC,No,1949-12-10,1955-12-10,Defeated,NA,NA
Andrews1955,Menzies,VIC,Yes,1991-05-11,NA,NA,NA,NA
Andrews1960,McPherson,QLD,No,2010-08-21,NA,NA,NA,NA
Anstey1865,Bourke,VIC,No,1910-04-13,1934-08-07,Retired,NA,NA
Anthony1897,Richmond,NSW,No,1937-10-23,1957-07-12,Died,NA,NA
Anthony1929,Richmond,NSW,Yes,1957-09-14,1984-01-18,Resigned,NA,NA
Anthony1961,Richmond,NSW,No,1996-03-02,2004-10-09,Defeated,NA,NA
Archer1871,Capricornia,QLD,No,1906-12-12,1910-04-13,Defeated,NA,NA
Archer1975,Bass,TAS,No,2019-05-18,NA,NA,NA,NA
Archibald1852,Hindmarsh,SA,No,1910-04-13,1919-12-13,Defeated,NA,NA
Armitage1920,Chifley,NSW,No,1969-10-25,1983-02-04,Retired,NA,NA
Armitage1920,Mitchell,NSW,No,1961-12-09,1963-11-30,Defeated,NA,NA
Armstrong1909,Riverina,NSW,Yes,1965-02-27,1969-10-25,Defeated,NA,NA
Arthur1875,Bendigo,VIC,No,1913-05-31,1914-12-09,Died,NA,NA
Arthur1918,Barton,NSW,No,1966-11-26,1969-10-25,Defeated,NA,NA
AshleyBrown1915,Mitchell,NSW,No,1972-12-02,1974-05-18,Defeated,NA,NA
Aston1916,Phillip,NSW,No,1955-12-10,1961-12-09,Defeated,NA,NA
Aston1916,Phillip,NSW,No,1963-11-30,1972-12-02,Defeated,NA,NA
Atkinson1867,Wilmot,TAS,No,1906-12-12,1929-10-12,Defeated,NA,NA
Atkinson1948,Isaacs,VIC,No,1990-03-24,1996-03-02,Defeated,NA,NA
Badman1885,Grey,SA,No,1937-10-23,1943-08-21,Defeated,NA,NA
Bailey1946,McEwen,VIC,No,1990-03-24,1993-03-13,Defeated,NA,NA
Bailey1946,McEwen,VIC,No,1996-03-02,2010-07-19,Retired,NA,NA
Baillieu1937,La Trobe,VIC,No,1975-12-13,1980-10-18,Defeated,NA,NA
Baird1942,Cook,NSW,No,1998-10-03,2007-10-17,Retired,NA,NA
Baker1873,Maranoa,QLD,No,1940-09-21,1943-08-21,Defeated,NA,NA
Baker1903,Griffith,QLD,No,1934-09-15,1939-03-28,Died,NA,NA
Baker1903,Oxley,QLD,No,1931-12-19,1934-09-15,Until Elected For Griffith,1,NA
Baker1958,Braddon,TAS,No,2004-10-09,2007-11-24,Defeated,NA,NA
Baldwin1951,Sydney,NSW,No,1983-03-05,1998-08-31,Retired,NA,NA
Baldwin1955,Paterson,NSW,No,1996-03-02,1998-10-03,Defeated,NA,NA
Baldwin1955,Paterson,NSW,No,2001-11-10,2016-05-09,Retired,NA,NA
Bamford1849,Herbert,QLD,No,1901-03-30,1925-10-03,Retired,NA,NA
Bandidt1906,Wide Bay,QLD,No,1958-11-22,1961-12-09,Defeated,NA,NA
Bandt1972,Melbourne,VIC,No,2010-08-21,NA,NA,NA,NA
Banks1962,Chisholm,VIC,No,2016-07-02,2019-05-18,NA,NA,NA
Barnard1890,Bass,TAS,No,1934-09-15,1949-12-10,Defeated,NA,NA
Barnard1919,Bass,TAS,No,1954-05-29,1975-06-02,Resigned,NA,NA
Barnes1901,McPherson,QLD,No,1958-11-22,1972-11-02,Retired,NA,NA
Barresi1955,Deakin,VIC,No,1996-03-02,2007-11-24,Defeated,NA,NA
Bartlett1949,Macquarie,NSW,No,1996-03-02,2007-11-24,Defeated,NA,NA
Barton1849,Hunter,NSW,No,1901-03-29,1903-09-30,Resigned,NA,NA
Barwick1903,Parramatta,NSW,Yes,1958-03-08,1964-04-24,Resigned,NA,NA
Batchelor1865,Boothby,SA,No,1903-12-16,1911-10-08,Died,NA,NA
Batchelor1865,South Australia,SA,No,1901-03-30,1903-12-16,Until Elected For Boothby,1,NA
Bate1906,Macarthur,NSW,No,1949-12-10,1972-12-02,Defeated,NA,NA
Baume1930,Macarthur,NSW,No,1975-12-13,1983-03-05,Defeated,NA,NA
Bayley1882,Oxley,QLD,No,1917-05-05,1931-12-19,Defeated,NA,NA
Beale1898,Parramatta,NSW,No,1946-09-28,1958-02-10,Resigned,NA,NA
Beale1934,Bruce,VIC,No,1990-03-24,1996-03-02,Defeated,NA,NA
Beale1934,Deakin,VIC,No,1984-12-01,1990-03-24,Until Elected For Bruce,1,NA
Beard1866,Batman,VIC,No,1910-04-13,1910-12-18,Died,NA,NA
Beasley1895,West Sydney,NSW,No,1928-11-17,1946-08-14,Resigned,NA,NA
Beaton1925,Bendigo,VIC,Yes,1960-07-16,1969-04-09,Resigned,NA,NA
Beazley1917,Fremantle,WA,Yes,1945-08-18,1977-11-10,Retired,NA,NA
Beazley1948,Brand,WA,No,1996-03-02,2007-10-17,Retired,NA,NA
Beazley1948,Swan,WA,No,1980-10-18,1996-03-02,Until Elected For Brand,1,NA
Beck1882,Denison,TAS,No,1940-09-21,1943-08-21,Defeated,NA,NA
Beddall1948,Fadden,QLD,No,1983-03-05,1984-12-01,Until Elected For Rankin,1,NA
Beddall1948,Rankin,QLD,No,1984-12-01,1998-08-31,Retired,NA,NA
